observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2023-10-24,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-10-24 09:00:00,9,71.0,320.0,9.0,11.0,-6.5,-6.6,
2024-06-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-26 09:00:00,9,,320.0,5.0,,0.6,-0.2,
2024-10-23,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-10-23 03:00:00,3,26.0,240.0,5.0,,-6.2,-11.9,
2024-01-14,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-14 15:00:00,15,,90.0,4.0,,-35.3,-37.3,
2024-03-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-03-26 03:00:00,3,,80.0,5.0,,-26.5,-26.6,
2024-04-29,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-04-29 21:00:00,21,,40.0,5.0,,-16.1,-16.2,
2024-03-10,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-03-10 18:00:00,18,,,0.0,,-33.5,-34.7,
2023-04-18,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-18 06:00:00,6,36.0,30.0,8.0,11.0,-16.6,-18.3,
2023-12-21,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-12-21 03:00:00,3,,240.0,2.0,,-22.4,-22.5,
2023-08-14,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-08-14 18:00:00,18,,320.0,4.0,,2.3,2.3,
2023-04-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-04 00:00:00,0,,310.0,1.0,,-18.7,-20.7,
2024-10-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-10-27 00:00:00,0,26.0,240.0,1.0,,-9.6,-14.0,
2023-06-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-06-27 15:00:00,15,61.0,170.0,1.0,,1.3,1.3,
2024-03-22,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-03-22 03:00:00,3,70.0,290.0,1.0,,-23.8,-23.9,
2024-04-15,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-04-15 00:00:00,0,,280.0,4.0,,-26.3,-26.4,
2024-07-25,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-07-25 00:00:00,0,,240.0,4.0,,5.7,4.3,5.0
2024-12-30,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-12-30 15:00:00,15,,100.0,8.0,10.0,-26.1,-29.0,
2024-12-31,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-12-31 21:00:00,21,38.0,60.0,13.0,16.0,-20.9,-23.4,
2024-12-18,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-12-18 09:00:00,9,22.0,230.0,4.0,,-18.8,-21.0,
2024-11-09,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-09 00:00:00,0,,120.0,5.0,,-20.4,-23.2,
2023-01-28,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-01-28 12:00:00,12,36.0,70.0,8.0,10.0,-27.0,-29.7,
2024-06-29,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-29 06:00:00,6,,190.0,3.0,,9.7,5.5,
2024-09-15,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-09-15 15:00:00,15,,280.0,4.0,,-0.1,-2.8,
2023-04-17,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-04-17 03:00:00,3,36.0,100.0,11.0,14.0,-15.9,-18.3,
2024-08-29,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-08-29 12:00:00,12,,120.0,3.0,,3.2,0.3,
2024-11-15,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-15 15:00:00,15,71.0,80.0,7.0,10.0,-14.4,-16.2,
2023-06-15,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-06-15 18:00:00,18,,90.0,10.0,14.0,1.0,-1.2,
2023-03-24,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-03-24 03:00:00,3,,100.0,2.0,,-26.9,-31.0,
2023-12-15,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-12-15 00:00:00,0,36.0,60.0,9.0,11.0,-21.2,-21.3,
2024-01-26,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-26 21:00:00,21,71.0,310.0,8.0,,-18.9,-19.0,
2024-07-07,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-07-07 09:00:00,9,,120.0,5.0,,2.2,-0.8,
2023-05-09,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-05-09 18:00:00,18,38.0,150.0,10.0,16.0,-10.3,-11.4,
2023-12-01,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-12-01 03:00:00,3,,130.0,3.0,,-27.9,-28.5,
2024-06-30,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-30 00:00:00,0,,130.0,7.0,13.0,10.1,6.9,7.0
2024-03-09,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-03-09 21:00:00,21,,10.0,2.0,,-32.0,-32.8,
2023-03-29,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-03-29 12:00:00,12,36.0,270.0,6.0,10.0,-29.4,-32.2,
2024-01-05,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-01-05 21:00:00,21,,70.0,2.0,,-33.2,-34.8,
2024-06-07,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-06-07 18:00:00,18,,100.0,8.0,11.0,-2.5,-3.8,
2023-11-27,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-11-27 06:00:00,6,,290.0,4.0,,-16.5,-16.6,
2023-07-23,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-07-23 21:00:00,21,10.0,250.0,6.0,,1.2,0.9,
2023-05-06,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-05-06 03:00:00,3,36.0,230.0,11.0,14.0,-10.1,-12.3,
2023-05-28,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-05-28 21:00:00,21,,310.0,9.0,16.0,0.4,0.3,
2024-04-11,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-04-11 18:00:00,18,,,,,,,
2024-11-12,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-11-12 12:00:00,12,70.0,70.0,4.0,,-16.2,-18.2,
2023-02-07,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2023-02-07 15:00:00,15,,90.0,2.0,,-25.5,-28.0,
2024-05-04,КИГИЛЯХ (21636),Республика Саха /Якутия/,21636,КИГИЛЯХ,2024-05-04 09:00:00,9,,290.0,1.0,,-5.6,-5.7,
