observation_date,meteoname_with_id,subject_name,station_identifier,station_name,observation_ts,observation_period,presentweather,winddirection,windspeed,maximumwindgustspeed,airtemperature,dewpointtemperature,groundminimumtemperaturepast12hours
2022-09-09,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-09-09 18:00:00,18,,,0.0,,4.0,1.4,
2020-11-28,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-11-28 21:00:00,21,2.0,,0.0,,-16.8,-18.7,
2019-10-09,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-10-09 12:00:00,12,2.0,160.0,1.0,,-5.6,-7.4,
2020-05-12,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-05-12 09:00:00,9,80.0,80.0,3.0,,5.6,-2.1,
2020-10-29,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-10-29 12:00:00,12,85.0,200.0,2.0,,-6.7,-7.9,
2021-08-29,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-08-29 18:00:00,18,,,0.0,,8.6,7.5,
2021-05-04,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-05-04 21:00:00,21,,,0.0,,0.2,-2.5,
2022-12-09,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-12-09 03:00:00,3,85.0,180.0,3.0,,-13.3,-16.8,
2019-12-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-12-23 18:00:00,18,,,0.0,,-37.7,-41.2,
2022-11-17,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-11-17 00:00:00,0,85.0,180.0,1.0,,-6.2,-7.4,
2022-08-12,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-08-12 00:00:00,0,10.0,160.0,1.0,,13.3,13.1,11.0
2022-06-11,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-06-11 18:00:00,18,10.0,,0.0,,8.2,7.6,
2019-11-06,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-11-06 03:00:00,3,,,0.0,,-22.0,-23.9,
2020-10-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-10-23 12:00:00,12,,160.0,3.0,,2.4,-1.9,
2021-01-29,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-01-29 12:00:00,12,10.0,,0.0,,-46.1,-49.2,
2021-03-23,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-03-23 12:00:00,12,,,0.0,,-9.5,-14.1,
2022-06-03,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-06-03 03:00:00,3,,210.0,4.0,,19.9,7.4,
2021-05-19,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-05-19 21:00:00,21,,190.0,2.0,,-3.9,-5.4,
2021-05-12,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-05-12 18:00:00,18,,,0.0,,-1.5,-4.9,
2019-10-01,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-10-01 00:00:00,0,,180.0,2.0,,0.1,-2.9,
2022-03-27,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-03-27 12:00:00,12,85.0,230.0,6.0,12.0,-3.9,-6.5,
2022-11-08,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-11-08 12:00:00,12,85.0,200.0,3.0,,-3.4,-6.2,
2022-01-06,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-01-06 09:00:00,9,71.0,,0.0,,-15.2,-17.2,
2020-05-14,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-05-14 09:00:00,9,,40.0,5.0,,8.9,-4.5,
2020-01-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-01-10 15:00:00,15,71.0,180.0,3.0,,-12.9,-17.2,
2020-06-10,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-06-10 06:00:00,6,,,0.0,,12.2,7.5,
2022-04-06,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-04-06 06:00:00,6,,130.0,1.0,,2.2,-10.9,
2022-03-01,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2022-03-01 15:00:00,15,,200.0,1.0,,-18.9,-20.8,
2020-07-26,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-07-26 21:00:00,21,,330.0,4.0,,15.5,10.6,
2020-08-15,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-08-15 06:00:00,6,,60.0,4.0,,17.3,6.9,
2021-07-17,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2021-07-17 15:00:00,15,4.0,,0.0,,22.6,16.0,
2020-06-08,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-06-08 06:00:00,6,,100.0,2.0,,14.2,6.6,
2019-10-15,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2019-10-15 15:00:00,15,,180.0,2.0,,0.6,-0.0,
2020-05-09,ВИТИМ (30054),Республика Саха /Якутия/,30054,ВИТИМ,2020-05-09 12:00:00,12,,280.0,2.0,,10.5,-7.9,
